offset,vram,.text
0,80010F00,src/code/z_en_a_keep
AA0,800119A0,src/code/z_en_item00
2EA0,80013DA0,src/code/z_eff_blure
62D0,800171D0,src/code/z_eff_shield_particle
7930,80018830,src/code/z_eff_spark
8FE0,80019EE0,src/code/z_eff_ss_dead
9790,8001A690,src/code/z_effect
9F10,8001AE10,src/code/z_effect_soft_sprite
A9B0,8001B8B0,src/code/z_effect_soft_sprite_old_init
D4D0,8001E3D0,src/code/flg_set
D8F0,8001E7F0,src/code/z_DLF
DB40,8001EA40,src/code/z_actor
1A0C0,8002AFC0,src/code/z_actor_dlftbls
1A210,8002B110,src/code/z_bgcheck
23DF0,80034CF0,src/code/code_800430A0
24110,80035010,src/code/code_80043480
244A0,800353A0,src/code/z_camera
38AD0,800499D0,src/code/z_collision_btltbls
38B30,80049A30,src/code/z_collision_check
407B0,800516B0,src/code/z_common_data
40830,80051730,src/code/z_debug
40B40,80051A40,src/code/z_debug_display
41000,80051F00,src/code/z_demo
45CE0,80056BE0,src/code/code_80069420
45D70,80056C70,src/code/z_draw
47C70,80058B70,src/code/z_sfx_source
47E30,80058D30,src/code/z_elf_message
48510,80059410,src/code/z_face_reaction
48560,80059460,src/code/code_8006C3A0
486E0,800595E0,src/code/z_fcurve_data
48920,80059820,src/code/z_fcurve_data_skelanime
49130,8005A030,src/code/z_horse
49E10,8005AD10,src/code/z_jpeg
4A5D0,8005B4D0,src/code/z_kaleido_setup
4A9A0,8005B8A0,src/code/z_kanfont
4AB70,8005BA70,src/code/z_kankyo
52380,80063280,src/code/z_lib
53520,80064420,src/code/z_lifemeter
548C0,800657C0,src/code/z_lights
55960,80066860,src/code/z_malloc
55B40,80066A40,src/code/z_map_mark
56140,80067040,src/code/z_prenmi_buff
56200,80067100,src/code/z_nulltask
56280,80067180,src/code/z_olib
56970,80067870,src/code/z_onepointdemo
5A910,8006B810,src/code/z_map_exp
5C4B0,8006D3B0,src/code/z_parameter
67BA0,80078AA0,src/code/z_path
67D70,80078C70,src/code/z_frame_advance
67E20,80078D20,src/code/z_player_lib
6B890,8007C790,src/code/z_prenmi
6BA30,8007C930,src/code/z_quake
6C8A0,8007D7A0,src/code/z_rcp
6E160,8007F060,src/code/z_room
6F950,80080850,src/code/z_sample
6FD50,80080C50,src/code/code_80097A00
6FF10,80080E10,src/code/z_scene
713C0,800822C0,src/code/z_scene_table
77BA0,80088AA0,src/code/z_skelanime
7C590,8008D490,src/code/z_skin
7D130,8008E030,src/code/z_skin_awb
7DA40,8008E940,src/code/z_skin_matrix
7EDE0,8008FCE0,src/code/z_sram
80220,80091120,src/code/z_ss_sram
803F0,800912F0,src/code/z_rumble
80670,80091570,src/code/z_view
81D70,80092C70,src/code/z_vimode
828E0,800937E0,src/code/z_viscvg
82A80,80093980,src/code/z_vismono
832A0,800941A0,src/code/z_viszbuf
83530,80094430,src/code/z_vr_box
85E00,80096D00,src/code/z_vr_box_draw
864E0,800973E0,src/code/z_player_call
86650,80097550,src/code/z_fbdemo
