name,vrom_start,vrom_end,rom_start,rom_end,vram_start,overlay_dir
boot,1050,B7A0,1050,0,80000450,
code,AB0000,BB8FA0,A890F0,B08080,80018FA0,
ovl_title,BB8FA0,BB98D0,B08080,B08650,80800000,gamestates
ovl_select,BB98D0,BBC550,B08650,B09C90,80800930,gamestates
ovl_opening,BBC550,BBC6A0,B09C90,B09DA0,808035B0,gamestates
ovl_file_choose,BBC6A0,BCD170,B09DA0,B114B0,80803700,gamestates
ovl_kaleido_scope,BCD170,BE91A0,B114B0,B1CE20,808141F0,misc
ovl_player_actor,BE91A0,C0F8B0,B1CE20,B318E0,80830290,actors
ovl_map_mark_data,C0F8B0,C16410,B318E0,B31C00,80856A70,misc
ovl_En_Test,C16410,C1BCC0,B31C00,B34720,8085D5D0,actors
ovl_En_GirlA,C1BCC0,C1E5E0,B34720,B357F0,80862E80,actors
ovl_En_Part,C1E5E0,C1FC40,B357F0,B36580,808657A0,actors
ovl_En_Light,C1FC40,C20A40,B36580,B36DD0,80866E00,actors
ovl_En_Door,C20A40,C21880,B36DD0,B37790,80867C00,actors
ovl_En_Box,C21880,C233D0,B37790,B387B0,80868A40,actors
ovl_En_Poh,C233D0,C275C0,B387B0,B3AB60,8086A5A0,actors
ovl_En_Okuta,C275C0,C29BA0,B3AB60,B3C1B0,8086E790,actors
ovl_En_Bom,C29BA0,C2AA70,B3C1B0,B3CB60,80870D70,actors
ovl_En_Wallmas,C2AA70,C2C480,B3CB60,B3DA80,80871C40,actors
ovl_En_Dodongo,C2C480,C2F220,B3DA80,B3F4D0,80873650,actors
ovl_En_Firefly,C2F220,C31390,B3F4D0,B40800,808763F0,actors
ovl_En_Horse,C31390,C3D5F0,B40800,B46B20,80878560,actors
ovl_En_Arrow,C3D5F0,C3ECF0,B46B20,B47900,808847C0,actors
ovl_En_Elf,C3ECF0,C436B0,B47900,B4A170,80885EC0,actors
ovl_En_Niw,C436B0,C469E0,B4A170,B4C040,8088A880,actors
ovl_En_Tite,C469E0,C49780,B4C040,B4D800,8088DBB0,actors
ovl_En_Reeba,C49780,C4B1F0,B4D800,B4E810,80890950,actors
ovl_En_Peehat,C4B1F0,C4E8F0,B4E810,B505B0,808923C0,actors
ovl_En_Holl,C4E8F0,C4F8C0,B505B0,B50F90,80895AC0,actors
ovl_En_Scene_Change,C4F8C0,C4F9F0,B50F90,B51060,80896A90,actors
ovl_En_Zf,C4F9F0,C564D0,B51060,B548E0,80896BC0,actors
ovl_En_Hata,C564D0,C56A60,B548E0,B54D00,8089D6B0,actors
ovl_Boss_Dodongo,C56A60,C60560,B54D00,B5A160,8089DC40,actors
ovl_Boss_Goma,C60560,C66500,B5A160,B5D240,808A7740,actors
ovl_En_Zl1,C66500,C6A310,B5D240,B5ED00,808AD6E0,actors
ovl_En_Viewer,C6A310,C6D1B0,B5ED00,B607E0,808B14F0,actors
ovl_En_Goma,C6D1B0,C6FE60,B607E0,B62130,808B43B0,actors
ovl_Bg_Pushbox,C6FE60,C70160,B62130,B62350,808B7060,actors
ovl_En_Bubble,C70160,C71580,B62350,B63030,808B7360,actors
ovl_Door_Shutter,C71580,C73840,B63030,B64550,808B8780,actors
ovl_En_Dodojr,C73840,C756E0,B64550,B65760,808BAA40,actors
ovl_En_Bdfire,C756E0,C76280,B65760,B65EF0,808BC8E0,actors
ovl_En_Boom,C76280,C76B50,B65EF0,B664F0,808BD480,actors
ovl_En_Torch2,C76B50,C792B0,B664F0,B67D50,808BDD50,actors
ovl_En_Bili,C792B0,C7B580,B67D50,B691C0,808C04F0,actors
ovl_En_Tp,C7B580,C7D3F0,B691C0,B6A490,808C27C0,actors
ovl_En_St,C7D3F0,C80060,B6A490,B6BEB0,808C4630,actors
ovl_En_Bw,C80060,C833F0,B6BEB0,B6DC30,808C72A0,actors
ovl_En_Eiyer,C833F0,C85050,B6DC30,B6ED50,808CA630,actors
ovl_En_River_Sound,C85050,C859E0,B6ED50,B6F3D0,808CC290,actors
ovl_En_Horse_Normal,C859E0,C88000,B6F3D0,B708B0,808CCC20,actors
ovl_En_Ossan,C88000,C8E5E0,B708B0,B73780,808CF240,actors
ovl_Bg_Treemouth,C8E5E0,C8FC40,B73780,B741C0,808D5820,actors
ovl_Bg_Dodoago,C8FC40,C90980,B741C0,B74A60,808D6E80,actors
ovl_Bg_Hidan_Dalm,C90980,C911D0,B74A60,B74FB0,808D7C30,actors
ovl_Bg_Hidan_Hrock,C911D0,C91A00,B74FB0,B75510,808D8480,actors
ovl_En_Horse_Ganon,C91A00,C92780,B75510,B75DD0,808D8CB0,actors
ovl_Bg_Hidan_Rock,C92780,C93880,B75DD0,B76880,808D9A30,actors
ovl_Bg_Hidan_Rsekizou,C93880,C94460,B76880,B76FC0,808DAB30,actors
ovl_Bg_Hidan_Sekizou,C94460,C958B0,B76FC0,B77C90,808DB710,actors
ovl_Bg_Hidan_Sima,C958B0,C967B0,B77C90,B78660,808DCB60,actors
