offset,vram,.text
0,80018FA0,src/code/z_en_a_keep
AA0,80019A40,src/code/z_en_item00
2EA0,8001BE40,src/code/z_eff_blure
62D0,8001F270,src/code/z_eff_shield_particle
7930,800208D0,src/code/z_eff_spark
8FE0,80021F80,src/code/z_eff_ss_dead
9790,80022730,src/code/z_effect
9F10,80022EB0,src/code/z_effect_soft_sprite
A9B0,80023950,src/code/z_effect_soft_sprite_old_init
D4D0,80026470,src/code/flg_set
D8F0,80026890,src/code/z_DLF
DB40,80026AE0,src/code/z_actor
18ED0,80031E70,src/code/z_actor_dlftbls
19020,80031FC0,src/code/z_bgcheck
22C00,8003BBA0,src/code/z_bg_collect
22F20,8003BEC0,src/code/z_bg_item
232B0,8003C250,src/code/z_camera
378E0,80050880,src/code/z_collision_btltbls
37940,800508E0,src/code/z_collision_check
3F5C0,80058560,src/code/z_common_data
3F670,80058610,src/code/z_debug
3F980,80058920,src/code/z_debug_display
3FE40,80058DE0,src/code/z_demo
44B20,8005DAC0,src/code/z_memory_utils
44BB0,8005DB50,src/code/z_draw
46AB0,8005FA50,src/code/z_sfx_source
46C70,8005FC10,src/code/z_elf_message
47350,800602F0,src/code/z_face_reaction
473A0,80060340,src/code/z_env_flags
47520,800604C0,src/code/z_fcurve_data
47760,80060700,src/code/z_fcurve_data_skelanime
47F70,80060F10,src/code/z_horse
48C50,80061BF0,src/code/z_jpeg
49410,800623B0,src/code/z_kaleido_setup
497E0,80062780,src/code/z_kanfont
499E0,80062980,src/code/z_kankyo
511F0,8006A190,src/code/z_lib
52390,8006B330,src/code/z_lifemeter
53730,8006C6D0,src/code/z_lights
547D0,8006D770,src/code/z_malloc
549B0,8006D950,src/code/z_map_mark
54FB0,8006DF50,src/code/z_prenmi_buff
55070,8006E010,src/code/z_nulltask
550F0,8006E090,src/code/z_olib
557E0,8006E780,src/code/z_onepointdemo
59780,80072720,src/code/z_map_exp
5B320,800742C0,src/code/z_parameter
66080,8007F020,src/code/z_path
66250,8007F1F0,src/code/z_frame_advance
66300,8007F2A0,src/code/z_player_lib
69D70,80082D10,src/code/z_prenmi
69F10,80082EB0,src/code/z_quake
6AD80,80083D20,src/code/z_rcp
6C640,800855E0,src/code/z_room
6DE30,80086DD0,src/code/z_sample
6E230,800871D0,src/code/z_inventory
6E3F0,80087390,src/code/z_scene
6F8A0,80088840,src/code/z_scene_table
760A0,8008F040,src/code/z_skelanime
7AA90,80093A30,src/code/z_skin
7B630,800945D0,src/code/z_skin_awb
7BF40,80094EE0,src/code/z_skin_matrix
7D2E0,80096280,src/code/z_sram
7E690,80097630,src/code/z_ss_sram
7E860,80097800,src/code/z_rumble
7EAE0,80097A80,src/code/z_view
801E0,80099180,src/code/z_vimode
80D50,80099CF0,src/code/z_viscvg
80EF0,80099E90,src/code/z_vismono
81710,8009A6B0,src/code/z_viszbuf
819A0,8009A940,src/code/z_vr_box
84270,8009D210,src/code/z_vr_box_draw
84950,8009D8F0,src/code/z_player_call
84AC0,8009DA60,src/code/z_fbdemo
854E0,8009E480,src/code/z_fbdemo_triforce
85AA0,8009EA40,src/code/z_fbdemo_wipe1
85F10,8009EEB0,src/code/z_fbdemo_circle
865D0,8009F570,src/code/z_fbdemo_fade
86930,8009F8D0,src/code/shrink_window
86AA0,8009FA40,src/code/z_cutscene_spline
86F70,8009FF10,src/code/z_kaleido_manager
871A0,800A0140,src/code/z_kaleido_scope_call
87480,800A0420,src/code/z_play
8AEA0,800A3E40,src/code/PreRender
8CF90,800A5F30,src/code/TwoHeadGfxArena
8D1A0,800A6140,src/code/TwoHeadArena
8D360,800A6300,src/code/audio_stop_all_sfx
8D3B0,800A6350,src/code/audio_thread_manager
8D7C0,800A6760,src/code/title_setup
8D830,800A67D0,src/code/game
8DFB0,800A6F50,src/code/gamealloc
8E0F0,800A7090,src/code/graph
8EA90,800A7A30,src/code/gfxalloc
8EAF0,800A7A90,src/code/listalloc
8EC40,800A7BE0,src/code/main
8EFA0,800A7F40,src/code/padmgr
8FAA0,800A8A40,src/code/sched
90720,800A96C0,src/code/speed_meter
91160,800AA100,src/code/sys_cfb
91280,800AA220,src/code/sys_math
91520,800AA4C0,src/code/sys_math3d
972F0,800B0290,src/code/sys_math_atan
97520,800B04C0,src/code/sys_matrix
99920,800B28C0,src/code/sys_ucode
99970,800B2910,src/code/sys_rumble
99CD0,800B2C70,src/code/sys_freeze
99D00,800B2CA0,src/code/irqmgr
9A320,800B32C0,src/code/fault_gc
9CB70,800B5B10,src/code/fault_gc_drawer
9D5F0,800B6590,src/code/kanread
9E0E0,800B7080,src/audio/lib/synthesis
A1240,800BA1E0,src/audio/lib/heap
A4610,800BD5B0,src/audio/lib/load
A8400,800C13A0,src/audio/lib/thread
A9C60,800C2C00,src/audio/lib/dcache
A9CE0,800C2C80,src/audio/lib/aisetnextbuf
A9D60,800C2D00,src/audio/lib/playback
ABCE0,800C4C80,src/audio/lib/effects
AC760,800C5700,src/audio/lib/seqplayer
AFD80,800C8D20,src/audio/general
B5F10,800CEEB0,src/audio/sfx
B7D70,800D0D10,src/audio/sequence
B9990,800D2930,src/libu64/system_heap
B9CD0,800D2C70,src/libu64/debug
B9D30,800D2CD0,src/libu64/gfxprint
BAAA0,800D3A40,src/libu64/relocation_gc
BACE0,800D3C80,src/libu64/loadfragment2_gc
BAD40,800D3CE0,src/libu64/load_gc
BAE10,800D3DB0,src/libu64/padsetup
BAF50,800D3EF0,src/libu64/pad
BB140,800D40E0,src/libu64/rcp_utils
BB1A0,800D4140,src/libc64/__osMalloc_gc
BBF50,800D4EF0,src/libc64/aprintf
BBFB0,800D4F50,src/libc64/malloc
BC180,800D5120,src/libc64/math64
BC690,800D5630,src/libc64/fp
BC7F0,800D5790,src/libc64/qrand
BC9B0,800D5950,src/libc64/sleep
BCB50,800D5AF0,src/libc64/sprintf
BCC20,800D5BC0,src/code/jpegutils
BD130,800D60D0,src/code/jpegdecoder
BD720,800D66C0,src/libultra/io/aigetlen
BD730,800D66D0,src/libultra/io/aisetfreq
BD830,800D67D0,src/libultra/audio/sl
BD8E0,800D6880,src/libultra/audio/synthesizer
BDF50,800D6EF0,src/libultra/audio/syndelete
BDF60,800D6F00,src/libultra/audio/synallocfx
BE000,800D6FA0,src/libultra/os/writebackdcacheall
BE030,800D6FD0,src/libultra/io/contquery
BE0E0,800D7080,src/libultra/io/contreaddata
BE360,800D7300,src/libultra/io/controller
BE730,800D76D0,src/libultra/io/contsetch
BE790,800D7730,src/libultra/gu/sqrtf
BE7A0,800D7740,src/libultra/gu/cosf
BE8D0,800D7870,src/libultra/gu/coss
BE8F0,800D7890,src/libultra/gu/lookat
BEC20,800D7BC0,src/libultra/gu/lookathil
BF4F0,800D8490,src/libultra/gu/ortho
BF660,800D8600,src/libultra/gu/perspective
BF860,800D8800,src/libultra/gu/position
BFA40,800D89E0,src/libultra/gu/sinf
BFBC0,800D8B60,src/libultra/gu/sins
BFC10,800D8BB0,src/libultra/gu/us2dex
BFD30,800D8CD0,src/libultra/libc/ll
C02B0,800D9250,src/libultra/libc/llcvt
C05C0,800D9560,src/libultra/libc/string
C0640,800D95E0,src/libultra/libc/xprintf
C1020,800D9FC0,src/libultra/io/dpgetstat
C1030,800D9FD0,src/libultra/io/dpsetstat
C1040,800D9FE0,src/libultra/io/spgetstat
C1050,800D9FF0,src/libultra/io/spsetstat
C1060,800DA000,src/libultra/io/sptask
C1270,800DA210,src/libultra/io/sptaskyield
C1290,800DA230,src/libultra/io/sptaskyielded
C12E0,800DA280,src/libultra/io/sirawdma
C13C0,800DA360,src/libultra/io/siacs
C1480,800DA420,src/libultra/os/getthreadid
C14D0,800DA470,src/libultra/os/getactivequeue
C1500,800DA4A0,src/libultra/os/settimer
C16C0,800DA660,src/libultra/os/stoptimer
C17E0,800DA780,src/libultra/io/vigetcurrframebuf
C1820,800DA7C0,src/libultra/io/visetevent
C1880,800DA820,src/libultra/mgu/mtxident
C18E0,800DA880,src/libultra/mgu/mtxidentf
C1940,800DA8E0,src/libultra/mgu/mtxf2l
C19C0,800DA960,src/libultra/mgu/scale
C1A60,800DAA00,src/libultra/mgu/translate
C1B30,800DAAD0,src/libultra/gu/rotate
C1CC0,800DAC60,src/libultra/os/getcurrfaultedthread
C1CF0,800DAC90,src/libultra/bb/sk/skapi
C1F40,800DAEE0,src/libultra/bb/sa/common
C2030,800DAFD0,src/libultra/io/motor
C2040,800DAFE0,src/libultra/os/afterprenmi
C2080,800DB020,src/libultra/audio/drvrnew
C2830,800DB7D0,src/libultra/audio/load
C32C0,800DC260,src/libultra/audio/auxbus
C33D0,800DC370,src/libultra/audio/env
C3F40,800DCEE0,src/libultra/audio/filter
C3F60,800DCF00,src/libultra/audio/mainbus
C40D0,800DD070,src/libultra/audio/resample
C4370,800DD310,src/libultra/audio/reverb
C4EE0,800DDE80,src/libultra/audio/save
C4FC0,800DDF60,src/libultra/audio/heapalloc
C5010,800DDFB0,src/libultra/audio/copy
C5040,800DDFE0,src/libultra/libc/xlitob
C5270,800DE210,src/libultra/libc/xldtob
C5C70,800DEC10,src/libultra/io/sp
C5CA0,800DEC40,src/libultra/io/spsetpc
C5CD0,800DEC70,src/libultra/io/sprawdma
C5D60,800DED00,src/libultra/mgu/normalize
C5DC0,800DED60,src/libultra/libc/ldiv
C5F80,800DEF20,src/libc/fmodf
C5FC0,800DEF60,src/libc/memmove
C6050,800DEFF0,src/libc/absf
C6060,800DF000,src/libc/sqrt
C6070,800DF010,src/code/z_message_z_game_over
D20D0,800EB070,src/code/z_construct
D2FD0,800EBF70,data/rsp.text

offset,vram,.data
D6330,800EF2D0,src/code/z_en_a_keep
D63D0,800EF370,src/code/z_en_item00
D6670,800EF610,src/code/z_eff_blure
D6720,800EF6C0,src/code/z_eff_shield_particle
D6770,800EF710,src/code/z_effect
D67C0,800EF760,src/code/z_effect_soft_sprite
D67D0,800EF770,src/code/z_effect_soft_sprite_old_init
D68C0,800EF860,src/code/z_effect_soft_sprite_dlftbls
D6CD0,800EFC70,src/code/flg_set
D6E90,800EFE30,src/code/z_actor
D7180,800F0120,src/code/z_actor_dlftbls
DAC70,800F3C10,src/code/z_bgcheck
DADC0,800F3D60,src/code/z_camera
DE310,800F72B0,src/code/z_collision_btltbls
DE5F0,800F7590,src/code/z_collision_check
DE8A0,800F7840,src/code/z_debug
DE8D0,800F7870,src/code/z_debug_display
DE920,800F78C0,src/code/z_demo
DEA80,800F7A20,src/code/z_draw
DFB00,800F8AA0,src/code/z_elf_message
DFB50,800F8AF0,src/code/z_face_reaction
DFF90,800F8F30,src/code/z_game_dlftbls
E00B0,800F9050,src/code/z_horse
E01C0,800F9160,src/code/z_jpeg
E0200,800F91A0,src/code/z_kaleido_setup
E0250,800F91F0,src/code/z_kankyo
E0640,800F95E0,src/code/z_lib
E0670,800F9610,src/code/z_lifemeter
E0790,800F9730,src/code/z_lights
E07A0,800F9740,src/code/z_map_mark
E0860,800F9800,src/code/z_onepointdemo
E4180,800FD120,src/code/z_map_exp
E41A0,800FD140,src/code/z_map_data
E5FA0,800FEF40,src/code/z_parameter
E6280,800FF220,src/code/z_player_lib
E6960,800FF900,src/code/z_quake
E6990,800FF930,src/code/z_rcp
E77B0,80100750,src/code/z_room
E7830,801007D0,src/code/z_inventory
E7BB0,80100B50,src/code/z_scene
E7C30,80100BD0,src/code/object_table
E88D0,80101870,src/code/z_scene_table
EAAE0,80103A80,src/code/z_skelanime
EAB00,80103AA0,src/code/z_skin_matrix
EAB40,80103AE0,src/code/z_sram
EACF0,80103C90,src/code/z_ss_sram
EADA0,80103D40,data/unk_8012ABC0.data
EADD0,80103D70,src/code/z_view
EADE0,80103D80,src/code/z_viscvg
EAE70,80103E10,src/code/z_vr_box
EB170,80104110,src/code/z_player_call
EB190,80104130,src/code/z_fbdemo
EB210,801041B0,src/code/z_fbdemo_triforce
EB2E0,80104280,src/code/z_fbdemo_wipe1
EBD80,80104D20,src/code/z_fbdemo_circle
ED080,80106020,src/code/z_fbdemo_fade
ED0B0,80106050,src/code/shrink_window
ED0C0,80106060,src/code/z_kaleido_manager
ED110,801060B0,src/code/z_play
ED120,801060C0,src/code/audio_stop_all_sfx
ED130,801060D0,src/code/graph
ED140,801060E0,src/code/main
ED150,801060F0,src/code/padmgr
ED160,80106100,src/code/speed_meter
ED190,80106130,src/code/sys_math
ED1D0,80106170,src/code/sys_math_atan
ED9E0,80106980,src/code/sys_matrix
EDA60,80106A00,src/code/sys_ucode
EDA70,80106A10,src/code/sys_rumble
EDA80,80106A20,src/code/irqmgr
EDAA0,80106A40,src/code/fault_gc
EDB00,80106AA0,src/code/fault_gc_drawer
EDB40,80106AE0,src/audio/lib/data
EFF50,80108EF0,src/audio/lib/synthesis
EFF80,80108F20,src/audio/lib/load
EFF90,80108F30,src/audio/lib/thread
EFFB0,80108F50,src/audio/lib/aisetnextbuf
EFFC0,80108F60,src/audio/lib/effects
EFFD0,80108F70,src/audio/lib/seqplayer
F0020,80108FC0,src/audio/general
F1740,8010A6E0,src/audio/sfx_params
F2B10,8010BAB0,src/audio/data
F2B80,8010BB20,src/audio/session_config
F3320,8010C2C0,src/libu64/system_heap
F3330,8010C2D0,src/libu64/gfxprint
F3BE0,8010CB80,src/libu64/logseverity_gc
F3BF0,8010CB90,src/libc64/__osMalloc_gc
F3C00,8010CBA0,src/libc64/fp
F3C20,8010CBC0,src/libc64/qrand
F3C30,8010CBD0,src/libultra/audio/sl
F3C40,8010CBE0,src/libultra/io/controller
F3C50,8010CBF0,src/libultra/gu/position
F3C60,8010CC00,src/libultra/gu/sins
F4460,8010D400,src/libultra/libc/xprintf
F44B0,8010D450,src/libultra/io/siacs
F44C0,8010D460,src/libultra/io/vitbl
F5640,8010E5E0,src/libultra/io/vimodentsclpn1
F5690,8010E630,src/libultra/io/vimodentsclpf1
F56E0,8010E680,src/libultra/io/vimodentsclaf1
F5730,8010E6D0,src/libultra/io/vimodentsclpn2
F5780,8010E720,src/libultra/io/vimodentsclpf2
F57D0,8010E770,src/libultra/io/vimodentsclan2
F5820,8010E7C0,src/libultra/io/vimodentsclaf2
F5870,8010E810,src/libultra/io/vimodentschpn1
F58C0,8010E860,src/libultra/io/vimodentschpf1
F5910,8010E8B0,src/libultra/io/vimodentschan1
F5960,8010E900,src/libultra/io/vimodentschaf1
F59B0,8010E950,src/libultra/io/vimodentschpn2
F5A00,8010E9A0,src/libultra/io/vimodentschpf2
F5A50,8010E9F0,src/libultra/io/vimodepallpn1
F5AA0,8010EA40,src/libultra/io/vimodepallpf1
F5AF0,8010EA90,src/libultra/io/vimodepallaf1
F5B40,8010EAE0,src/libultra/io/vimodepallpn2
F5B90,8010EB30,src/libultra/io/vimodepallpf2
F5BE0,8010EB80,src/libultra/io/vimodepallan2
F5C30,8010EBD0,src/libultra/io/vimodepallaf2
F5C80,8010EC20,src/libultra/io/vimodepalhpn1
F5CD0,8010EC70,src/libultra/io/vimodepalhpf1
F5D20,8010ECC0,src/libultra/io/vimodepalhan1
F5D70,8010ED10,src/libultra/io/vimodepalhaf1
F5DC0,8010ED60,src/libultra/io/vimodepalhpn2
F5E10,8010EDB0,src/libultra/io/vimodepalhpf2
F5E60,8010EE00,src/libultra/io/vimodempallpn1
F5EB0,8010EE50,src/libultra/io/vimodempallpf1
F5F00,8010EEA0,src/libultra/io/vimodempallaf1
F5F50,8010EEF0,src/libultra/io/vimodempallpn2
F5FA0,8010EF40,src/libultra/io/vimodempallpf2
F5FF0,8010EF90,src/libultra/io/vimodempallan2
F6040,8010EFE0,src/libultra/io/vimodempallaf2
F6090,8010F030,src/libultra/io/vimodempalhpn1
F60E0,8010F080,src/libultra/io/vimodempalhpf1
F6130,8010F0D0,src/libultra/io/vimodempalhan1
F6180,8010F120,src/libultra/io/vimodempalhaf1
F61D0,8010F170,src/libultra/io/vimodempalhpn2
F6220,8010F1C0,src/libultra/io/vimodempalhpf2
F6270,8010F210,src/libultra/io/vimodefpallpn1
F62C0,8010F260,src/libultra/io/vimodefpallpf1
F6310,8010F2B0,src/libultra/io/vimodefpallan1
F6360,8010F300,src/libultra/io/vimodefpallaf1
F63B0,8010F350,src/libultra/io/vimodefpallpn2
F6400,8010F3A0,src/libultra/io/vimodefpallpf2
F6450,8010F3F0,src/libultra/io/vimodefpallan2
F64A0,8010F440,src/libultra/io/vimodefpallaf2
F64F0,8010F490,src/libultra/io/vimodefpalhpn1
F6540,8010F4E0,src/libultra/io/vimodefpalhpf1
F6590,8010F530,src/libultra/io/vimodefpalhan1
F65E0,8010F580,src/libultra/io/vimodefpalhaf1
F6630,8010F5D0,src/libultra/io/vimodefpalhpn2
F6680,8010F620,src/libultra/io/vimodefpalhpf2
F66D0,8010F670,src/libultra/gu/rotate
F66E0,8010F680,src/libultra/audio/drvrnew
F6870,8010F810,src/libultra/audio/env
F6970,8010F910,src/libultra/libc/xlitob

offset,vram,.rodata
F69A0,8010F940,src/code/z_en_a_keep
F69F0,8010F990,src/code/z_en_item00
F6C60,8010FC00,src/code/z_eff_blure
F6C90,8010FC30,src/code/z_eff_shield_particle
F6CA0,8010FC40,src/code/z_eff_spark
F6CB0,8010FC50,src/code/z_eff_ss_dead
F6CC0,8010FC60,src/code/z_effect_soft_sprite_old_init
F6CE0,8010FC80,src/code/flg_set
F7070,80110010,src/code/z_actor
F7790,80110730,src/code/z_actor_dlftbls
F77E0,80110780,src/code/z_bgcheck
F7880,80110820,src/code/z_bg_item
F7890,80110830,src/code/z_camera
F8010,80110FB0,src/code/z_collision_check
F8060,80111000,src/code/z_debug
F8070,80111010,src/code/z_demo
F8550,801114F0,src/code/z_draw
F8560,80111500,src/code/z_elf_message
F8680,80111620,src/code/z_fcurve_data
F8690,80111630,src/code/z_fcurve_data_skelanime
F86A0,80111640,src/code/z_horse
F86B0,80111650,src/code/z_jpeg
F8740,801116E0,src/code/z_kanfont
F87A0,80111740,src/code/z_kankyo
F8850,801117F0,src/code/z_lib
F8860,80111800,src/code/z_lifemeter
F8880,80111820,src/code/z_lights
F8890,80111830,src/code/z_map_mark
F88F0,80111890,src/code/z_olib
F8910,801118B0,src/code/z_onepointdemo
F91D0,80112170,src/code/z_map_exp
F94F0,80112490,src/code/z_parameter
F9BF0,80112B90,src/code/z_path
F9C00,80112BA0,src/code/z_player_lib
F9C60,80112C00,src/code/z_quake
F9CF0,80112C90,src/code/z_room
F9D30,80112CD0,src/code/z_sample
F9D40,80112CE0,src/code/z_scene_table
F9D80,80112D20,src/code/z_skelanime
F9DA0,80112D40,src/code/z_skin
F9DB0,80112D50,src/code/z_skin_matrix
F9DC0,80112D60,src/code/z_sram
FA460,80113400,src/code/z_rumble
FA470,80113410,src/code/z_view
FA480,80113420,src/code/z_vr_box
FA570,80113510,src/code/z_fbdemo_triforce
FA580,80113520,src/code/z_fbdemo_wipe1
